seat_code,state,seat,mp,current_party
P034,Terengganu,Setiu,SHAHARIZUKIRNAIN BIN ABD KADIR,PAS
P035,Terengganu,Kuala Nerus,ALIAS BIN RAZAK,Malaysia Islamic Party (PAS)
P036,Terengganu,Kuala Terengganu,AHMAD AMZAD BIN MOHAMED @ HASHIM,PAS
P037,Terengganu,Marang,ABDUL HADI BIN AWANG,PAS
P038,Terengganu,Hulu Terengganu,ROSOL BIN WAHID,PPBM
P039,Terengganu,Dungun,WAN HASSAN BIN MOHD RAMLI,PAS
P040,Terengganu,Kemaman,CHE ALIAS BIN HAMID,PAS
P041,Pulau Pinang,Kepala Batas,SITI MASTURA MUHAMMAD,PAS
P042,Pulau Pinang,Tasek Gelugor,WAN SAIFULRUDDIN WAN JAN,Malaysian United Indigenous Party (BERSATU) 
P043,Pulau Pinang,Bagan,LIM GUAN ENG,DAP
P044,Pulau Pinang,Permatang Pauh,MUHAMMAD FAWWAZ MAT JAN,PARTI ISLAM SE-MALAYSIA (PAS)
P045,Pulau Pinang,Bukit Mertajam,SIM CHEE KEONG,DAP
P046,Pulau Pinang,Batu Kawan,CHOW KON YEOW,DAP
P047,Pulau Pinang,Nibong Tebal,FADHLINA SIDDIQ,People's Justice Party (PKR)
P048,Pulau Pinang,Bukit Bendera,SYERLEENA ABDUL RASHID,Democratic Action Party (DAP)
P049,Pulau Pinang,Tanjong,LIM HUI YING,Democratic Action Party (DAP)
P050,Pulau Pinang,Jelutong,SANISVARA NETHAJI RAYER A/L RAJAJI,DAP
P051,Pulau Pinang,Bukit Gelugor,RAMKARPAL SINGH A/L KARPAL SINGH,DAP
P052,Pulau Pinang,Bayan Baru,SIM TZE TZIN,PKR
P053,Pulau Pinang,Balik Pulau,MUHAMMAD BAKHTIAR BIN WAN CHIK,PKR
P054,Perak,Gerik,FATHUL HUZIR AYOB,Parti Pribumi Bersatu Malaysia
P055,Perak,Lenggong,SHAMSUL ANUAR BIN NASARAH,UMNO
P056,Perak,Larut,HAMZAH BIN ZAINUDIN,PPBM
P057,Perak,Parit Buntar,MOHD MISBAHUL MUNIR MASDUKI,Parti Islam Se-Malaysia
P058,Perak,Bagan Serai,IDRIS BIN AHMAD,Parti Islam Se-Malaysia
P059,Perak,Bukit Gantang,SYED ABU HUSSIN BIN HAFIZ SYED ABDUL FASAL,PPBM
P060,Perak,Taiping,WONG KAH WOH,DAP
P061,Perak,Padang Rengas,AZAHARI HASAN,Parti Pribumi Bersatu Malaysia
P062,Perak,Sungai Siput,KESAVAN A/L SUBRAMANIAM,PKR
P063,Perak,Tambun,ANWAR BIN IBRAHIM,PKR
P064,Perak,Ipoh Timur,LEE CHUAN HOW,Democratic Action Party
P065,Perak,Ipoh Barat,M. KULASEGARAN A/L V. MURUGESON,DAP
P066,Perak,Batu Gajah,SIVAKUMAR A/L VARATHARAJU NAIDU,DAP
P067,Perak,Kuala Kangsar,ISKANDAR DZULKARNAIN ABDUL KHALID,Parti Pribumi Bersatu Malaysia
P068,Perak,Beruas,NGEH KOO HAM,DAP
P069,Perak,Parit,MUHAMMAD ISMI MAT TAIB,PAS
P070,Perak,Kampar,CHONG ZHEMIN,Democratic Action Party (DAP)
P071,Perak,Gopeng,TAN KAR HING,DAP
P072,Perak,Tapah,SARAVANAN A/L MURUGAN,MIC
P073,Perak,Pasir Salak,JAMALUDIN YAHYA,PAS
P074,Perak,Lumut,NORDIN AHMAD ISMAIL,PPBM
P075,Perak,Bagan Datuk,AHMAD ZAHID BIN HAMIDI,UMNO
P076,Perak,Teluk Intan,NGA KOR MING,DAP
P077,Perak,Tanjong Malim,CHANG LIH KANG,PKR
P078,Pahang,Cameron Highlands,RAMLI BIN DATO' MOHD NOR,UMNO
P079,Pahang,Lipis,ABDUL RAHMAN BIN MOHAMAD,UMNO
P080,Pahang,Raub,CHOW YU HUI,DAP
P081,Pahang,Jerantut,KHAIRIL NIZAM BIN KHIRUDIN,PAS
P082,Pahang,Indera Mahkota,SAIFUDDIN BIN ABDULLAH,PPBM
P083,Pahang,Kuantan,WAN RAZALI BIN WAN NOR,PAS
P084,Pahang,Paya Besar,MOHD SHAHAR BIN ABDULLAH,UMNO
P085,Pahang,Pekan,SH MOHAMED PUZI SH ALI,UMNO
P086,Pahang,Maran,ISMAIL BIN ABD. MUTTALIB,PAS
P087,Pahang,Kuala Krau,KAMAL ASHAARI,PAS
P088,Pahang,Temerloh,SALAMIAH MOHD NOR,PAS
P089,Pahang,Bentong,YOUNG SYEFURA OTHMAN,Democratic Action Party (DAP)
P090,Pahang,Bera,ISMAIL SABRI BIN YAAKOB,UMNO
P091,Pahang,Rompin,ABDUL KHALIB ABDULLAH,BERSATU
P092,Selangor,Sabak Bernam,KALAM BIN SALAN,BERSATU
P093,Selangor,Sungai Besar,MUSLIMIN BIN YAHAYA,PPBM
P094,Selangor,Hulu Selangor,MOHD HASNIZAN HARUN,BERSATU
P095,Selangor,Tanjong Karang,ZULKAFPERI HANAPI,BERSATU
P096,Selangor,Kuala Selangor,DZULKEFLY BIN AHMAD,AMANAH
P097,Selangor,Selayang,WILLIAM LEONG JEE KEEN,PKR
P098,Selangor,Gombak,AMIRUDIN BIN SHARI,PKR
P099,Selangor,Ampang,RODZIAH BINTI ISMAIL,PKR
P100,Selangor,Pandan,MOHD RAFIZI BIN RAMLI,People's Justice Party (PKR)
P101,Selangor,Hulu Langat,MOHD SANY HAMZAN,AMANAH
P102,Selangor,Bangi,SYAHREDZAN JOHAN,DAP
P103,Selangor,Puchong,YEO BEE YIN,DAP
P104,Selangor,Subang,WONG CHEN,PKR
P105,Selangor,Petaling Jaya,LEE CHEAN CHUNG,People's Justice Party (PKR)
P106,Selangor,Damansara,GOBIND SINGH DEO,DAP
P107,Selangor,Sungai Buloh,RAMANAN RAMAKRISHNAN,People's Justice Party (PKR)
P108,Selangor,Shah Alam,AZLI YUSOF,AMANAH
P109,Selangor,Kapar,HALIMAH BINTI ALI,PAS
P110,Selangor,Klang,GANABATIRAU A/L VERAMAN,DAP
P111,Selangor,Kota Raja,MOHAMAD BIN SABU,AMANAH
P112,Selangor,Kuala Langat,AHMAD YUNUS BIN HAIRI,PAS
P113,Selangor,Sepang,RAJ MUNNI SABU @ AIMAN ATHIRAH AL JUNDI,AMANAH
P114,W.P. Kuala Lumpur,Kepong,LIM LIP ENG,DAP
P115,W.P. Kuala Lumpur,Batu,PRABAKARAN A/L M PARAMESWARAN,PKR
P116,W.P. Kuala Lumpur,Wangsa Maju,ZAHIR HASSAN,PKR
P117,W.P. Kuala Lumpur,Segambut,HANNAH YEOH TSEOW SUAN,DAP
P118,W.P. Kuala Lumpur,Setiawangsa,NIK NAZMI BIN NIK AHMAD,PKR
P119,W.P. Kuala Lumpur,Titiwangsa,JOHARI BIN ABDUL GHANI,UMNO
P120,W.P. Kuala Lumpur,Bukit Bintang,FONG KUI LUN,DAP
P121,W.P. Kuala Lumpur,Lembah Pantai,AHMAD FAHMI BIN MOHAMED FADZIL,PKR
P122,W.P. Kuala Lumpur,Seputeh,TERESA KOK SUH SIM,DAP
P123,W.P. Kuala Lumpur,Cheras,TAN KOK WAI,DAP
P124,W.P. Kuala Lumpur,Bandar Tun Razak,WAN AZIZAH BINTI WAN ISMAIL,PKR
P125,W.P. Putrajaya,Putrajaya,MOHD RADZI BIN JIDIN,BERSATU
P126,Negeri Sembilan,Jelebu,JALALUDDIN BIN ALIAS,UMNO
P127,Negeri Sembilan,Jempol,SHAMSULKAHAR BIN MOHD DELI,UMNO
P128,Negeri Sembilan,Seremban,LOKE SIEW FOOK,DAP
P129,Negeri Sembilan,Kuala Pilah,ADNAN ABU HASSAN,UMNO
P130,Negeri Sembilan,Rasah,CHA KEE CHIN,DAP
P131,Negeri Sembilan,Rembau,MOHAMAD BIN HASAN,UMNO
P132,Negeri Sembilan,Port Dickson,AMINUDDIN BIN HARUN,
P133,Negeri Sembilan,Tampin,MOHD ISAM MOHD ISA,UMNO
P134,Melaka,Masjid Tanah,MAS ERMIEYATI BINTI SAMSUDIN,PPBM
P135,Melaka,Alor Gajah,ADLY ZAHARI,AMANAH
P136,Melaka,Tangga Batu,BAKRI JAMALUDDIN,Parti Islam Se-Malaysia (PAS)
